company,complaints,timely_response_rate,products
Servicer under contract with Federal Student Aid,3315,0.0,8
EdFinancial Services,7259,0.7047802727648437,7
MOHELA,21945,0.7199362041467304,9
"CCS Financial Services, Inc.",16288,0.7573059921414538,7
Incomm Holdings Inc.,2659,0.7611884166980067,7
"American Credit Acceptance, LLC",2241,0.8353413654618473,7
Rent Recovery Solutions,1815,0.8418732782369146,5
"Professional Debt Mediation, Inc.",1129,0.8432240921169176,3
"ProCollect, Inc.",3299,0.8508638981509549,5
HCFS Healthcare Financial Services of TeamHealth,1097,0.8514129443938013,5
ROBINHOOD MARKETS INC.,3340,0.8841317365269461,8
MicroBilt / PRBC (formerly CL Verify),1446,0.9128630705394191,3
"John C. Heath, Attorney at Law, PLLC",1661,0.921733895243829,10
TransferWise Ltd,1444,0.9238227146814404,7
Klarna AB,1231,0.9244516653127539,9
FinCo Services Inc DBA Current,1279,0.9343236903831118,8
"CLGF Holdco 1, LLC",7103,0.9483316908348585,9
"Aargon Agency, Inc.",1503,0.9560878243512974,4
LCI Acquisition Inc.,2310,0.9575757575757575,4
Netspend Corporation,2644,0.9587745839636914,9
"Credit Karma, LLC",3133,0.9591445898499841,10
"W&A Intermediate Co., LLC",3552,0.9594594594594594,6
Source Receivables Management LLC,2515,0.962624254473161,5
"Credit Systems International, Inc.",1150,0.9669565217391304,3
"Paramount GR Holdings, LLC",1130,0.9690265486725663,8
"BMW Financial Services NA, LLC",1511,0.9695565850430179,7
"FAIR COLLECTIONS & OUTSOURCING, INC.",3467,0.9723103547735794,5
"Lockhart, Morris & Montgomery Inc.",1661,0.9735099337748344,6
Bridgecrest Acceptance Corporation,4818,0.9761311747613117,10
"BANK OF AMERICA, NATIONAL ASSOCIATION",60863,0.9765867604291606,11
"Portfolio Recovery Associates, LLC",30622,0.9770426490758278,10
"Amsher Collection Services, Inc.",3423,0.9777972538708735,8
"Open Dealer Exchange, LLC",1178,0.9779286926994907,6
"LoanCare, LLC",2368,0.980152027027027,8
STATE EMPLOYEES CREDIT UNION,1188,0.9806397306397306,10
"ID Analytics, Inc.",4759,0.9815087203193948,5
"Ability Recovery Services, LLC",1874,0.9818569903948773,5
"Upstart Holdings, Inc.",2217,0.9824086603518268,10
Self Financial Inc.,8491,0.982923095041809,9
"LD Holdings Group, LLC",1106,0.9837251356238698,9
"Block, Inc.",56367,0.9846364007309242,10
RoundPoint Mortgage Servicing LLC,1132,0.984982332155477,5
TRUIST FINANCIAL CORPORATION,16458,0.9852959047271843,11
LEXISNEXIS,36059,0.986965806040101,11
Lendmark Financial Services,1233,0.9886455798864558,7
NISSAN MOTOR ACCEPTANCE COMPANY LLC,2498,0.988791032826261,8
OPORTUN FINANCIAL CORPORATION,1384,0.990606936416185,8
"Collection Management Holdings, LLC",1942,0.9907312049433573,4
"Fay Servicing, LLC",1700,0.9911764705882353,7
"FactorTrust, Inc.",1551,0.9916183107672469,4
"Capio Partners, LLC",1796,0.9916481069042317,4
World Acceptance Corporation,2460,0.991869918699187,9
AMERICAN HONDA FINANCE CORP,2096,0.9918893129770993,8
FIRST PORTFOLIO SERVICING INC,1160,0.9922413793103448,8
Specialized Loan Servicing Holdings LLC,1750,0.9925714285714285,6
"Colony Brands, Inc.",1302,0.9930875576036866,7
