product,complaints,timely_response_rate,narrative_share,unique_companies,complaint_share
Credit reporting or other personal consumer reports,8824129,0.9988305927984507,0.24078421790977897,2977,0.8592526052773541
Debt collection,566645,0.9748078603005409,0.4198184048213608,3628,0.05517725234041641
Credit card,256963,0.9958515428291232,0.5024964683631495,849,0.02502186076494176
Checking or savings account,224469,0.9915043948162107,0.5656950402950964,743,0.021857746306066288
"Money transfer, virtual currency, or money service",128034,0.9854569879875658,0.7113501101269976,714,0.012467354915604788
Mortgage,92267,0.9866040946383864,0.5571872933985065,1345,0.0089845309527009
Vehicle loan or lease,55562,0.9845037975594831,0.5653864151758397,832,0.005410368916231886
Student loan,54546,0.8481648516848165,0.5374912917537491,315,0.005311435565760492
"Payday loan, title loan, personal loan, or advance loan",35471,0.9607002903780553,0.5841955400186067,1223,0.003454000860798049
Prepaid card,21153,0.9511653193400463,0.5870089349028507,217,0.0020597806717730298
Debt or credit management,10301,0.93214251043588,0.5883894767498301,957,0.0010030634283521949
